"qts_produtos","media_valor_transacoes","media_limite","sexo","salario_anual"
"4.394230769230769","1963.6719","3452.4036","M","menos que $40K"
"4.291970802919708","1878.2974","5753.31","M","$40K - $60K"
"4.408710217755444","1845.1332","4212.1987","F","menos que $40K"
"4.352549889135255","1818.6364","9096.028","M","$60K - $80K"
"4.4404145077720205","1781.4299","4773.4463","F","$40K - $60K"
"4.329918032786885","1755.2499","14886.556","M","$80K - $120K"
"4.328828828828829","1701.4652","17801.488","M","$120K +"
